date,gold price,demand,inflation
2015-01-11,0.2184703977484452,18200800,0.0
2015-01-12,0.21724344982382146,18880300,0.0
2015-01-13,0.18298710483409494,72843904,0.0
2015-01-14,0.14428304707034717,97638704,0.0
2015-01-15,0.16592393630298072,81773504,0.0
2015-01-16,0.1629704723496742,38421000,0.0
2015-01-17,0.15604980084346962,23469700,0.0
2015-01-18,0.16472629062178998,30085100,0.0
2015-01-19,0.16826767039199875,18658300,0.0
2015-01-20,0.1632784812347306,24051100,0.0
2015-01-21,0.17538611095122755,29924600,0.0
2015-01-22,0.17944646315169474,33544600,0.0
2015-01-23,0.1801632385898584,24621700,0.0
2015-01-24,0.19174300232345348,24782500,0.0
2015-01-25,0.19628501246437452,33582700,0.0
2015-01-26,0.21375096664438792,106794000,0.0
2015-01-27,0.20397539371622794,44399000,0.0
2015-01-28,0.18190760466990372,44352200,0.0
2015-01-29,0.18612546232453364,32213400,0.0
2015-01-30,0.17710207512847698,26605200,0.0
2015-01-31,0.17009308135831175,23348200,0.0
2015-02-01,0.17752991796798617,29128500,0.0
2015-02-02,0.18667059475084244,30612100,0.0
2015-02-03,0.180414395634191,40783700,0.0
2015-02-04,0.1795007026914774,26594300,0.0
2015-02-05,0.17203723647515104,22516400,0.0
2015-02-06,0.18013291358452901,24435300,0.0
2015-02-07,0.18458059267069638,21604200,0.0
2015-02-08,0.18106167286086844,17145200,0.0
2015-02-09,0.17739361053236152,27791300,0.0
2015-02-10,0.1784987080825594,21115100,0.0
2015-02-11,0.17980721702919913,17201900,0.0
2015-02-12,0.18175888206362764,15206200,0.0
2015-02-13,0.19195026657409295,42744400,0.0
2015-02-14,0.20980107167084946,49732500,0.0
2015-02-15,0.19145943493537887,56552400,0.0
2015-02-16,0.19065878705204725,28153700,0.0
2015-02-17,0.20164721921478304,27363100,0.0
2015-02-18,0.19698759160361345,25200800,0.0
2015-02-19,0.19905808103765937,18270500,0.0
2015-02-20,0.20240700931287814,23876700,0.0
2015-02-21,0.2030338688352289,12284200,0.0
2015-02-22,0.19592909350835078,19527000,0.0
2015-02-23,0.19902690041898297,16400000,0.0
2015-02-24,0.19946110430336345,14200400,0.0
2015-02-25,0.19772689527119328,11496200,0.0
2015-02-26,0.195458002351993,13619400,0.0
2015-02-27,0.2093254230910205,44013900,0.0
2015-02-28,0.20968415438522456,13949300,0.0
2015-03-01,0.21458189105098555,25213700,0.0
2015-03-02,0.22826034989919622,40465700,0.0
2015-03-03,0.2339717573501739,50461300,0.0
2015-03-04,0.22746294856850036,41383000,0.0
2015-03-05,0.23093737218419907,41302400,0.0
2015-03-06,0.23427798098362396,28918900,0.0
2015-03-07,0.23731723401941654,17825900,0.0
2015-03-08,0.23567907367076166,22067900,0.0
2015-03-09,0.2482913139292752,59178200,0.0
2015-03-10,0.25149557443811194,67770800,0.0
2015-03-11,0.25756410044243194,33963900,0.0
2015-03-12,0.25549345555410397,32585200,0.0
2015-03-13,0.24755944096752217,31421500,0.0
2015-03-14,0.24456447660631392,22612300,0.0
2015-03-15,0.24847563025975475,11970100,0.0
2015-03-16,0.2519665089373924,21516100,0.0
2015-03-17,0.248632755153306,21497200,0.0
2015-03-18,0.2225977121729671,57008000,0.0
2015-03-19,0.22318707936199336,52732000,0.0
2015-03-20,0.22092250348809103,18456700,0.0
2015-03-21,0.21946740646548143,17130100,0.0
2015-03-22,0.22616473701205103,18438100,0.0
2015-03-23,0.22452861130839646,22811900,0.0
2015-03-24,0.2060879510645224,40073700,0.0
2015-03-25,0.20562682384132103,35866900,0.0
2015-03-26,0.20623350984620517,25730000,0.0
2015-03-27,0.205891812722701,17274900,0.0
2015-03-28,0.2107001115705111,16040900,0.0
2015-03-29,0.2022945387221707,21699400,0.0
2015-03-30,0.20891795305156194,23009600,0.0
2015-03-31,0.20642718625911904,22672000,0.0
2015-04-01,0.20467842742393846,22877200,0.0
2015-04-02,0.2106794901651014,26272600,0.0
2015-04-03,0.21177616875282648,23146600,0.0
2015-04-04,0.21125572576232446,12493500,0.0
2015-04-05,0.21700223719331602,19649200,0.0
2015-04-06,0.2096602736855328,20034200,0.0
2015-04-07,0.20913596380442734,18467400,0.0
2015-04-08,0.20365888799432214,30086400,0.0
2015-04-09,0.2041521446525051,21643500,0.0
2015-04-10,0.19597543666789183,28882000,0.0
2015-04-11,0.19637390565117865,16365200,0.0
2015-04-12,0.19604267363782812,12387900,0.0
2015-04-13,0.18726506834939732,31181800,0.0
2015-04-14,0.18373489906992005,31719000,0.0
2015-04-15,0.18629462551286802,22562000,0.0
2015-04-16,0.19079549085715777,24805400,0.0
2015-04-17,0.18528722193080543,20429800,0.0
2015-04-18,0.18568126882898253,12939000,0.0
2015-04-19,0.18505279041119396,15021500,0.0
2015-04-20,0.18820779813999006,18364700,0.0
2015-04-21,0.19558483034114435,24978000,0.0
2015-04-22,0.1973005224164964,23847900,0.0
2015-04-23,0.1979755532332944,17036000,0.0
2015-04-24,0.19679034630700934,21448700,0.0
2015-04-25,0.19263955819935064,13957200,0.0
2015-04-26,0.18671715605244205,28943700,0.0
2015-04-27,0.19054764911436384,38574000,0.0
2015-04-28,0.18604200636535342,21469200,0.0
2015-04-29,0.18664902425483937,18936500,0.0
2015-04-30,0.19971667743281926,33818600,0.0
2015-05-01,0.19759812239333893,18815300,0.0
2015-05-02,0.20002553654813218,12535500,0.0
2015-05-03,0.20464708532054865,18494100,0.0
2015-05-04,0.2013970302808008,21223400,0.0
2015-05-05,0.1978888802043317,23929100,0.0
2015-05-06,0.19304544085912556,29587200,0.0
2015-05-07,0.20072225535634589,29064400,0.0
2015-05-08,0.20508200454014108,27445500,0.0
2015-05-09,0.2033739851127803,19790500,0.0
2015-05-10,0.20208225564096566,15019100,0.0
2015-05-11,0.20466363653996267,20892300,0.0
2015-05-12,0.20217340637899792,19282600,0.0
2015-05-13,0.19400606874991044,27180100,0.0
2015-05-14,0.19334829127964331,24413700,0.0
2015-05-15,0.19388412544066835,16329400,0.0
2015-05-16,0.19269930630594018,11089700,0.0
2015-05-17,0.1932288877626479,11134300,0.0
2015-05-18,0.18987456972652395,16780300,0.0
2015-05-19,0.1921841093160917,14241900,0.0
2015-05-20,0.19357928748865658,15499400,0.0
2015-05-21,0.1954035115991626,15108900,0.0
2015-05-22,0.19957485465189945,27003000,0.0
2015-05-23,0.1983492355173407,14605000,0.0
2015-05-24,0.2000772176038297,11508000,0.0
2015-05-25,0.19688615045816657,14423900,0.0
2015-05-26,0.19972709490124047,16425000,0.0
2015-05-27,0.20008685376153912,18837000,0.0
2015-05-28,0.19982157195454806,13829600,0.0
2015-05-29,0.19934083418132892,14805000,0.0
2015-05-30,0.19618715018578928,14098600,0.0
2015-05-31,0.1935345533180104,14730800,0.0
2015-06-01,0.187600762192084,26090500,0.0
2015-06-02,0.18909890159206638,20459000,0.0
2015-06-03,0.19065924050768557,17752400,0.0
2015-06-04,0.19093029233600226,14728100,0.0
2015-06-05,0.19262886319909503,18056500,0.0
2015-06-06,0.1932000289966632,11131500,0.0
2015-06-07,0.19085544389877385,13318400,0.0
2015-06-08,0.1947570814206521,23378400,0.0
2015-06-09,0.19455363514032228,28353100,0.0
2015-06-10,0.1929036324795341,15904800,0.0
